"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"11 Com b";"19.4";;"326.03";"1.29";"0.231";;"0.011664";;;"2452899.6";"94.8";"110.6";"G8 III";"2.7";"-0.35";"12 20 43";"+17 47 34";"4.74";;;;;"19";"4742";;
"11 UMi b";"10.5";;"516.22";"1.54";"0.08";;"0.012887";;;"2452861.05";"117.63";"119.5";"K4III";"1.8";"0.04";"15 17 06";"+71 49 26";"5.02";;;;;"24.08";"4340";"1.56";
"14 And b";"4.8";;"185.84";"0.83";"0.0";;"0.010864";;;"2861.4";;"76.4";"K0III";"2.2";"-0.24";"23 31 17";"+39 14 10";"5.22";"4.1";"2.61";"3.02";"2.33";"11";"4813";;
"14 Her b";"4.64";;"1773.4";"2.77";"0.369";;"0.153039";;;"51372.7";"22.6";"18.1";"K0 V";"0.9";"0.43";"16 10 23";"+43 49 18";"6.67";;;;;"0.708";"5311";"5.1";
"16 Cyg B b";"1.68";;"799.5";"1.68";"0.689";;"0.078468";;;"50539.3";"83.4";"21.41";"G2.5 V";"1.01";"0.08";"19 41 51";"+50 31 03";"6.2";;;;;"0.98";"5766";"8";
"18 Del b";"10.3";;"993.3";"2.6";"0.08";;"0.035568";;;"1672";"166.1";"73.1";"G6III";"2.3";"-0.052";"20 58 26";"+10 50 21";"5.52";;"3.44";"4.03";"3.67";"8.5";"4979";;
"1RXS1609 b";"14";"1.7";;"330";;;"2.275862";;;;;"145";"K7V";"0.73";;"16 09 30";"-21 04 58";;"10.99";"9.12";"9.82";"8.92";"1.35";"4060";"0.011";
"24 Sex b";"1.99";;"452.8";"1.333";"0.09";;"0.017821";;;"2454762";"9.2";"74.8";"G5";"1.54";"-0.03";"10 23 28";"-00 54 08";"7.38";;;;;"4.9";"5098";"2.7";
"24 Sex c";"0.86";;"883";"2.08";"0.29";;"0.027807";;;"2454930";"220.5";"74.8";"G5";"1.54";"-0.03";"10 23 28";"-00 54 08";"7.38";;;;;"4.9";"5098";"2.7";
"2M 044144 b";"7.5";;;"15";;;"0.107143";;;;;"140";"M8.5";"0.02";;"04 41 45";"+23 01 51";;;"13.72";"14.2";"13.16";;;"0.001";
"2M 0746+20 b";"30";"0.97";"4640";"2.897";"0.487";"138.2";"0.237265";;;;"354.4";"12.21";;"0.12";;"07 46 43";"+20 00 32";;;;;;"0.089";"2205";;
"2M 2140+16 b";"20";"0.92";"7340";"3.53";"0.26";"46.2";"0.1412";;;;"223";"25";;"0.08";;"21 40 29";"+16 25 18";;;;;;"0.1";"2300";;
"2M 2206-20 b";"30";"1.3";"8686";"4.48";"0.0";"44.3";"0.167979";;;;;"26.67";;"0.13";;"22 06 23";"-20 47 06";;;;;;"0.11";"2350";;
"2M1207 b";"4";;;"46";;;"0.877863";;;;;"52.4";"M8";"0.025";;"12 07 33";"-39 32 54";"20.15";"15.95";;"13";;;;"0.008";
"30 Ari B b";"9.88";;"335.1";"0.995";"0.289";;"0.025254";;;"2454538";"307";"39.4";"F6V";"1.13";"0.07";"02 36 58";"+24 38 53";"7.1";;;;;"1.13";"6424";"0.91";
"4 Uma b";"7.1";;"269.3";"0.87";"0.432";;"0.011083";;;"52987.3936";"23.81";"78.5";"K1III";"1.234";"-0.25";"08 40 13";"+64 19 41";"5.79";;;;;;"4415";"4.604";
"42 Dra b";"3.88";;"479.1";"1.19";"0.38";;"0.01223";;;"2452757.4";"218.7";"97.3";"K1.5III";"0.98";"-0.46";"18 25 59";"+65 33 49";"4.83";;;;;"22.03";"4200";"9.49";
"47 Uma b";"2.53";;"1078";"2.1";"0.032";;"0.150322";;;"1917";"334";"13.97";"G0V";"1.03";;"10 59 29";"+40 25 46";"5.1";;;;;"1.24";"5892";"7.4";
"47 Uma c";"0.54";;"2391";"3.6";"0.098";;"0.257695";;;"2441";"295";"13.97";"G0V";"1.03";;"10 59 29";"+40 25 46";"5.1";;;;;"1.24";"5892";"7.4";
"47 Uma d";"1.64";;"14002";"11.6";"0.16";;"0.830351";;;"1736";"110";"13.97";"G0V";"1.03";;"10 59 29";"+40 25 46";"5.1";;;;;"1.24";"5892";"7.4";
"51 Peg b";"0.468";;"4.23077";"0.052";"0.0";"79";"0.003537";;;;;"14.7";"G2 IV";"1.11";"0.2";"22 57 27";"+20 46 07";"5.49";;;;;"1.266";"5793";"4";
"55 Cnc b";"0.824";;"14.651262";"0.1148";"0.0159";;"0.009303";;;"2450002.94749";"164";"12.34";"K0IV-V";"0.905";"0.31";"08 52 37";"+28 20 02";"5.95";;;;;"0.943";"5196";"10.2";
"55 Cnc c";"0.169";;"44.3446";"0.2403";"0.053";;"0.019473";;;"2449989.3385";"57.4";"12.34";"K0IV-V";"0.905";"0.31";"08 52 37";"+28 20 02";"5.95";;;;;"0.943";"5196";"10.2";
"55 Cnc d";"3.835";;"5218";"5.76";"0.025";"53";"0.466775";;;"2452500.6";"181.3";"12.34";"K0IV-V";"0.905";"0.31";"08 52 37";"+28 20 02";"5.95";;;;;"0.943";"5196";"10.2";
"55 Cnc e";"0.027";"0.194";"0.7365449";"0.0156";"0.06";"81";"0.001264";"2455568.026";"2455568.364";"2449999.83643";"170";"12.34";"K0IV-V";"0.905";"0.31";"08 52 37";"+28 20 02";"5.95";;;;;"0.943";"5196";"10.2";
"55 Cnc f";"0.144";;"260.7";"0.781";"0.0002";;"0.06329";;;"2450080.9108";"205";"12.34";"K0IV-V";"0.905";"0.31";"08 52 37";"+28 20 02";"5.95";;;;;"0.943";"5196";"10.2";
"6 Lyn b";"2.4";;"899";"2.2";"0.134";"2";"0.038664";;;"3309";"27";"56.9";"K0IV";"1.7";"-0.13";"06 30 47";"+58 09 46";"5.86";"4.8";"3.03";"4.27";"3.7";"5.2";"4978";;
"61 Vir b";"0.016";;"4.215";"0.050201";"0.12";;"0.005892";;;"2453369.166";"105";"8.52";"G5V";"0.95";"-0.01";"13 18 24";"-18 18 40";"4.74";;;;;"0.94";"5531";"8.96";
"61 Vir c";"0.0573";;"38.021";"0.2175";"0.14";;"0.025528";;;"2453369.166";"341";"8.52";"G5V";"0.95";"-0.01";"13 18 24";"-18 18 40";"4.74";;;;;"0.94";"5531";"8.96";
"61 Vir d";"0.072";;"123.01";"0.476";"0.35";;"0.055869";;;"2453369.166";"314";"8.52";"G5V";"0.95";"-0.01";"13 18 24";"-18 18 40";"4.74";;;;;"0.94";"5531";"8.96";
"7 CMa b";"2.6";;"763";"1.9";"0.14";;"0.096203";;;"2455520";"44.9";"19.75";"K1 III";"1.52";"0.21";"06 36 41";"-19 15 21";"3.96";;;;;"2.3";"4792";;
"70 Vir b";"6.6";;"116.67";"0.48";"0.43";;"0.021818";;;"2448990.403";"2.1";"22";"G4 V";"0.92";"-0.11";"13 28 26";"+13 47 12";"5";;;;;"1.968";"5432";"7.09";
"81 Cet b";"5.3";;"952.7";"2.5";"0.206";;"0.02572";;;"2486";"175";"97.2";"G5III";"2.4";"-0.06";"02 37 42";"-03 23 46";"5.65";;"3.38";"3.94";"3.27";"11";;;
"91 Aqr b";"2.9";;"182";"0.3";;;"0.006593";;;;;"45.5";"K0 III";;"-0.085";"23 15 53";"-09 05 15";"4.21";;;;;;"4580";;
"AB Pic b";"13.5";;;"275";;;"5.813953";;;;;"47.3";"K2 V";;"-0.64";"06 19 12";"-58 03 15";"9.16";;;;;;"4875";"0.03";
"alf Ari b";"1.8";;"380.8";"1.2";"0.25";;"0.059406";;;"2451213.52";"89.16";"20.2";"K2III";"1.5";"-0.09";"02 07 10";"+23 27 44";"2.01";;;;;"13.9";"4553";;
"BD +48 738 b";"0.91";;"392.6";"1";"0.2";;;;;"44457.2";"358.9";;"K0III";"0.74";"-0.2";"02 42 50";"+49 35 13";"9.14";;;;;"11";"4414";;
"BD-082823 b";"0.045";;"5.6";"0.056";"0.15";;"0.001327";;;"2454637.7";"30";"42.2";"K3V";"0.74";"-0.07";"10 00 48";"-09 31 00";"9.86";;;;;;"4746";"4.5";
"BD-082823 c";"0.33";;"237.6";"0.68";"0.19";;"0.016114";;;"2454193";"-233";"42.2";"K3V";"0.74";"-0.07";"10 00 48";"-09 31 00";"9.86";;;;;;"4746";"4.5";
"BD-10 3166 b";"0.48";;"3.487";"0.046";"0.05";;"0.000697";;;"1586.8";"35";"66";"G4 V";"0.99";"0.5";"10 58 28";"-10 46 13";"10.08";;;;;"1.71";"5400";"4.18";
"BD-17 63 b";"5.1";;"655.6";"1.34";"0.54";;"0.038728";;;"54627.1";"112.2";"34.6";"K5V";"0.74";"-0.03";"00 28 34";"-16 13 35";"9.62";;;;;"0.69";"4714";"4.3";
"BD14 4559 b";"1.47";;"268.94";"0.777";"0.29";;"0.01554";;;"53293.71";"87.64";"50";"K2V";"0.86";"0.1";"21 13 36";"+14 41 22";"9.63";;;;;;"5008";;
"BD20 2457 b";"21.42";;"379.63";"1.45";"0.15";;"0.00725";;;"54677.03";"207.64";"200";"K2II";"2.8";"-1";"10 16 45";"+19 53 29";"9.75";;;;;;"4127";;
"BD20 2457 c";"12.47";;"621.99";"2.01";"0.18";;"0.01005";;;"53866.95";"126.02";"200";"K2II";"2.8";"-1";"10 16 45";"+19 53 29";"9.75";;;;;;"4127";;
"beta Pic b";"8";;"7300";"8.5";"0.17";"88.5";"0.440415";;;;;"19.3";"A6V";"1.8";;"05 47 17";"-51 03 59";"3.86";;;;;;;"0.012";
"CD-35 2722 b";"31";;;"67";;;"3.14554";;;;;"21.3";"M1V";"0.4";"0.04";;;"10.98";;;;;;"3680";"0.1";
"CFBDS 1458 b";"6.5";;"14600";"2.6";;;"0.112554";;;;;"23.1";"T9.5";"0.024";;"14 58 29";"+10 13 43";;;"20.18";"19.86";"20.63";;"540";"3";
"CHXR 73 b";"12";;;"200";;;;;;;;;"M3.25";"0.35";;"11 06 29";"-77 37 33";;;"11.32";;;;;"0.002";
"CoRoT-1 b";"1.03";"1.49";"1.5089557";"0.0254";"0.0";"85.1";"5.5e-05";"2454159.4532";"2455159.1433";;;"460";"G0V";"0.95";"-0.3";"06 48 19";"-03 06 08";"13.6";;;;;"1.11";"5950";;
"CoRoT-10 b";"2.75";"0.97";"13.2406";"0.1055";"0.53";"88.55";"0.000306";"54273.3436";;"54990.85";"218.9";"345";"K1V";"0.89";"0.26";"19 24 15";"+00 44 46";"15.22";;;;;"0.79";"5075";"3";
"CoRoT-11 b";"2.49";"1.39";"2.994325";"0.04351";"0.0";"81.41";"7.8e-05";"54597.679";;;;"560";"F6V";"1.27";"-0.03";"18 42 45";"+05 56 16";"12.94";;;;;"1.37";"6440";"2";
"CoRoT-12 b";"0.917";"1.44";"2.828042";"0.04016";"0.07";"85.48";"3.5e-05";"4398.62707";;;"105";"1150";"G2V";"1.078";"0.16";"06 43 04";"-01 17 47";"15.52";;;;;"1.116";"5675";"6.3";
"CoRoT-13 b";"1.308";"0.885";"4.03519";"0.051";"0.0";"88.02";"3.9e-05";"4790.8091";;;;"1310";"G0V";"1.09";"0.01";"06 50 53";"-05 05 11";"15.04";;;;;"1.01";"5945";"1.64";
"CoRoT-14 b";"7.6";"1.09";"1.51214";"0.027";"0.0";"79.6";"2e-05";"2454787.6694";;"2454787.6702";;"1340";"F9V";"1.13";"0.05";"06 53 42";"-05 32 10";"16.03";;;;;"1.21";"6035";"0.6";
"CoRoT-16 b";"0.535";"1.17";"5.35227";"0.0618";"0.33";"85.01";"7.4e-05";"2454923.9138";;;"168.41";"840";"G5V";"1.098";"0.19";"18 34 06";"-06 00 09";"15.64";;;;;"1.19";"5650";"6.73";
"CoRoT-17 b";"2.45";"1.02";"3.768125";"0.0461";"0.0";"88.34";"5e-05";"2454923.3093";;;;"920";"G2V";"1.04";;"18 34 47";"-06 36 44";"15.46";;;;;"1.59";"5740";"10.7";
"CoRoT-18 b";"3.47";"1.31";"1.9000693";"0.0295";"0.08";"86.5";"3.4e-05";"2455321.72412";;;;"870";"G9V";"0.95";"-0.1";;;"14.99";;;;;"1";"5440";;
"CoRoT-19 b";"1.11";"1.45";"3.89713";"0.0518";"0.047";"87.61";"6.5e-05";"2455257.44102";;;"86";"800";"F9V";"1.21";"-0.02";;;"14.78";;;;;"1.65";"6090";"5";
"CoRoT-2 b";"3.31";"1.465";"1.7429964";"0.0281";"0.0";"87.84";"9.4e-05";"2454706.4041";"2455160.4496";;;"300";"G7V";"0.97";;"19 27 07";"+01 23 02";"12.57";;;;;"0.902";"5625";;
"CoRoT-20 b";"4.24";"0.84";"9.2";"0.0902";"0.562";"88.21";"7.3e-05";"24455265.79074";"2455272.46";;"56.3";"1230";"G2V";"1.14";"0.14";;;"14.66";;;;;"0.92";"5880";"0.1";
"CoRoT-21 b";"2.26";"1.3";"2.72474";"0.0417";"0.0";"86.8";;"2454399.0282";;;;;"FIV8";"1.29";;;;"16";;;;;"1.945";"6200";"4.1";
"CoRoT-23 b";"2.8";"1.05";"3.6314";"0.0477";"0.16";"85.7";"8e-05";"2455308.937316";;;"51.8";"600";"G0V";"1.14";"0.05";;;"15.63";;;;;"1.61";"5900";"7.2";
"CoRoT-3 b";"21.66";"1.01";"4.2568";"0.057";"0.0";"85.9";"8.4e-05";"2454283.1383";;;;"680";"F3V";"1.37";"-0.02";"19 28 13";"+00 07 19";"13.3";;;;;"1.56";"6740";"2";
"CoRoT-4 b";"0.72";"1.19";"9.20205";"0.09";"0.0";"90";;"2454141.36416";;;;;"F8V";"1.1";"0.05";"06 48 47";"-00 40 22";"13.7";;;;;"1.15";"6190";"1";
"CoRoT-5 b";"0.467";"1.388";"4.0378962";"0.04947";"0.09";"85.83";"0.000124";"2454400.19885";;;"-128.3";"400";"F9V";"1";"-0.25";"06 45 07";"+00 48 55";"14";;;;;"1.186";"6100";"6.9";
"CoRoT-6 b";"2.96";"1.166";"8.886593";"0.0855";"0.1";"89.07";;"2454702.2556";;"2454595.6144";;;"F9V";"1.055";"-0.2";"18 44 18";"+06 39 48";"13.9";;;;;"1.025";"6090";;
"CoRoT-7 b";"0.0151";"0.15";"0.853585";"0.0172";"0.0";"80.1";"0.000115";"2454398.0767";;;;"150";"K0V";"0.93";"0.03";"06 43 49";"-01 03 46";"11.7";;;;;"0.87";"5275";"1.5";
"CoRoT-7 c";"0.0264";;"3.698";"0.046";"0.0";;"0.000307";;;"2454445";;"150";"K0V";"0.93";"0.03";"06 43 49";"-01 03 46";"11.7";;;;;"0.87";"5275";"1.5";
"CoRoT-8 b";"0.22";"0.57";"6.21229";"0.063";"0.0";"88.4";"0.000166";"4238.9743";;;;"380";"K1V";"0.88";"0.3";"19 26 21";"+01 25 36";"14.8";;;;;"0.77";"5080";"3";
"CoRoT-9 b";"0.84";"1.05";"95.2738";"0.407";"0.11";"89.9";"0.000885";"2454603.3447";;;"37";"460";"G3V";"0.99";"-0.01";"18 43 09";"+06 12 15";"13.7";;;;;"0.94";"5625";"4";
"CT Cha b";"17";"2.2";;"440";;;"2.666667";;;;;"165";"K7";;;"11 04 09";"-76 27 19";"12.36";;;;;;;"0.002";
"DH Tau b";"11";;;"330";;;;;;;;;"M0.5V";"0.37";;"04 29 42";"+26 32 58";"13.71";;;;;;;"0.001";
"DP Leo b";"6.05";;"10230";"8.19";"0.39";;;;;;"-78";;"AM Her";"0.69";;"11 17 16";"+17 57 41";"17.5";;;;;;;;
"eps Eridani b";"1.55";;"2502";"3.39";"0.702";"30.1";"1.059375";;;"54207";"47";"3.2";"K2 V";"0.83";"-0.13";"03 32 55";"-09 27 29";"3.73";;;;;"0.895";"5116";"0.66";
"eps Tau b";"7.6";;"594.9";"1.93";"0.151";;"0.042889";;;"2879";"94.4";"45";"K0 III";"2.7";"0.17";"04 28 37";"+19 10 50";"3.53";;;;;"13.7";"4901";"0.625";
"Fomalhaut b";"3";;"320000";"115";"0.11";;"14.935065";;;;;"7.7";"A3 V";"2.06";;"22 57 39";"-29 37 20";"1.16";;;;;"1.82";"8540";"0.43";
"FU Tau b";"15";;;"800";;;"5.714286";;;;;"140";"M7.25";"0.05";;"04 23 35";"+25 03 03";;;"9.95";;;;"2838";"0.001";
"gamma 1 Leo b";"8.78";;"428.5";"1.19";"0.144";"172.1";"0.030909";;;"2451236";"206.7";"38.5";"K0III";"1.23";"-0.51";"10 19 58";"+19 50 29";"2.01";;;;;"31.88";"4330";;
"gamma Cephei b";"1.85";;"903.3";"2.05";"0.049";"5.7";"0.148658";;;"53147";"94.6";"13.79";"K1III-IV";"1.4";"0.18";"23 39 20";"+77 37 56";"3.22";;;;;"4.9";"4800";"6.6";
"GJ 1214 b";"0.02";"0.245";"1.58040482";"0.014";"0.27";"88.8";"0.001077";"2454980.7487955";;;;"13";"M";"0.153";"0.39";"17 15 19";"+04 57 50";"14.71";;;;;"0.21";"2949";"6";
"GJ 176 b";"0.0265";;"8.7836";"0.066";"0.0";;"0.007006";;;;;"9.42";"M2.5V";"0.49";"-0.1";"04 42 56";"+18 57 29";"9.97";;"5.824";"6.462";"5.607";"0.53";;;
"GJ 3021 b";"3.37";;"133.71";"0.49";"0.511";;"0.027809";;;"51545.86";"290.7";"17.62";"G6 V";"0.9";"0.1";"00 16 12";"-79 51 04";"6.59";;;;;"0.9";"5540";"8.77";
"GJ 317 b";"1.8";;"691.78";"1.15";"0.11";"45";"0.076159";;;"2451656.7";"342";"15.1";"M3.5";"0.42";"0.36";"08 40 59";"-23 27 23";"12";;"5.9";"6.41";"5.59";;"3510";;
"GJ 317 c";"2";;"10000";"30";"0.81";;"1.986755";;;;"210";"15.1";"M3.5";"0.42";"0.36";"08 40 59";"-23 27 23";"12";;"5.9";"6.41";"5.59";;"3510";;
"GJ 3634 b";"0.022";;"2.64561";"0.0287";"0.08";"59";"0.001449";;;"2454917.04";"84";"19.8";"M2.5";"0.45";;"10 58 35";"-31 08 39";"11.95";;;;;"0.43";;;
"GJ 433 b";"0.0182";;"7.3709";"0.058";"0.08";;"0.006416";;;"2454287";"-156";"9.04";"M1.5";"0.48";"-0.22";"11 35 27";"-32 32 24";"9.79";;;;;;"3600";;
"GJ 433 c";"0.14";;"3693";"3.6";"0.17";;"0.39823";;;"2456740";"-154";"9.04";"M1.5";"0.48";"-0.22";"11 35 27";"-32 32 24";"9.79";;;;;;"3600";;
"GJ 436 b";"0.0737";"0.365";"2.6438986";"0.02887";"0.15";"85.8";"0.00283";"2454222.61588";;"1551.716";"351";"10.2";"M2.5";"0.452";"-0.32";"11 42 11";"+26 42 23";"10.68";;;;;"0.464";"3684";"6";
"GJ 667C b";"0.01718";;"7.199";"0.0504";"0.09";;"0.007368";;;"2454443.1";"-4";"6.84";"M1.5V";"0.33";"-0.55";"17 18 57";"-34 59 23";"10.22";;;;;;"3600";"2";
"GJ 667C c";"0.0134";;"28.13";"0.1251";"0.34";;"0.018289";;;"2454462";"166";"6.84";"M1.5V";"0.33";"-0.55";"17 18 57";"-34 59 23";"10.22";;;;;;"3600";"2";
"GJ 674 b";"0.037";;"4.6938";"0.039";"0.2";;"0.00859";;;"2453780.085";"143";"4.54";"M2.5";"0.35";"-0.28";"17 28 40";"-46 53 43";"9.38";;;;;;"3600";"0.55";
"GJ 676A b";"4";;"989";"1.61";"0.29";;"0.097872";;;"2455411.9";"85.7";"16.45";"M0V";"0.71";"0.18";"17 30 11";"-51 38 13";"9.59";;;;;;;;
"GJ 832 b";"0.64";;"3416";"3.4";"0.12";;"0.688259";;;"1211";"304";"4.94";;"0.45";"-0.31";"21 33 34";"-49 00 32";"8.67";;;;;;;;
"Gj 849 b";"0.99";;"1852";"2.35";"0.04";;"0.267045";;;"11462";"351";"8.8";"M3.5";"0.49";"0.16";"22 09 40";"-04 38 27";"10.42";;;;;"0.52";;;
"Gl 179 b";"0.82";;"2288";"2.41";"0.21";;"0.195935";;;"25140";"153";"12.3";"M3.5";"0.357";"0.3";"04 52 06";"+06 28 36";"11.96";;;;;"0.38";"3370";;
"Gl 581 b";"0.05";;"5.36865";"0.041";"0.031";;"0.006602";;;"55753.95";"251";"6.21";"M2.5V";"0.31";"-0.135";"15 19 26";"-07 43 20";"10.55";;;;;"0.3";"3498";"8";
"Gl 581 c";"0.017";;"12.9182";"0.073";"0.07";;"0.011755";;;"54763";"235";"6.21";"M2.5V";"0.31";"-0.135";"15 19 26";"-07 43 20";"10.55";;;;;"0.3";"3498";"8";
"Gl 581 d";"0.019";;"66.64";"0.22";"0.25";;"0.035427";;;"54805.7";"356";"6.21";"M2.5V";"0.31";"-0.135";"15 19 26";"-07 43 20";"10.55";;;;;"0.3";"3498";"8";
"Gl 581 e";"0.0061";;"3.14945";"0.028";"0.32";;"0.004509";;;"54750.31";"236";"6.21";"M2.5V";"0.31";"-0.135";"15 19 26";"-07 43 20";"10.55";;;;;"0.3";"3498";"8";
"Gl 649 b";"0.328";;"598.3";"1.135";"0.3";;"0.109768";;;"12876";"352";"10.34";"M1.5";"0.54";"0.08";"16 58 09";"+25 44 39";"9.7";;;;;;"3700";;
"Gl 785 b";"0.053";;"74.72";"0.32";"0.13";;"0.035911";;;"2455151.02574596";"173";"8.911";"K1V";"0.78";"0.08";"20 15 17";"-27 01 59";"6.13";;;;;"0.68";"5144";;
"Gl 86 b";"4.01";;"15.766";"0.11";"0.046";;"0.010092";;;"1146.54";"266";"10.9";"K1V";"0.8";"-0.24";"02 10 14";"-50 50 00";"6.17";;;;;"0.855";"5350";"2.03";
"Gliese 876 b";"2.2756";;"61.1166";"0.208317";"0.0324";"84";"0.044323";;;;"50.3";"4.7";"M4 V";"0.334";"0.05";"22 53 13";"-14 15 13";"10.17";;;;;"0.36";"3350";"2.5";
"Gliese 876 c";"0.7142";;"30.0881";"0.12959";"0.25591";"48.07";"0.027572";;;;"48.76";"4.7";"M4 V";"0.334";"0.05";"22 53 13";"-14 15 13";"10.17";;;;;"0.36";"3350";"2.5";
"Gliese 876 d";"0.021";;"1.93778";"0.02080665";"0.207";"50";"0.004427";;;;"234";"4.7";"M4 V";"0.334";"0.05";"22 53 13";"-14 15 13";"10.17";;;;;"0.36";"3350";"2.5";
"Gliese 876 e";"0.046";;"124.26";"0.3343";"0.055";"59.5";"0.071128";;;;"239.22";"4.7";"M4 V";"0.334";"0.05";"22 53 13";"-14 15 13";"10.17";;;;;"0.36";"3350";"2.5";
"GQ Lup b";"21.5";"1.8";;"103";;;"0.735714";;;;;"140";"K7eV";"0.7";;"15 49 12";"-35 39 03";"11.4";;;;;;;"0.001";
"GSC 06214-00210 b";"17";;;"320";;;"2.206897";;;;;"145";"M1";"0.6";;"16 21 55";"-20 43 07";;;;;"9.15";;;"0.011";
"HAT-P-1 b";"0.524";"1.217";"4.4652934";"0.05535";"0.067";"86.28";"0.000398";"2454363.94656";"2454464.4121";;;"139";"GOV";"1.133";"0.13";"22 57 47";"+38 40 30";"10.4";;;;;"1.115";"5975";"3.6";
"HAT-P-11 b";"0.081";"0.452";"4.887804";"0.053";"0.198";"88.5";"0.001395";"2454605.89132";;;"355.2";"38";"K4";"0.81";"0.31";"19 50 50";"+48 04 51";"9.59";;;;;"0.75";"4780";"6.5";
"HAT-P-12 b";"0.211";"0.959";"3.2130598";"0.0384";"0.0";;"0.000269";"2454419.19556";;;;"142.5";;"0.73";"-0.29";"13 57 34";"+43 29 37";"12.84";;;;;"0.7";"4650";"2.5";
"HAT-P-13 b";"0.85";"1.28";"2.916243";"0.0426";"0.0142";"83.3";"0.000199";"2455176.5388";;;"223";"214";"G4";"1.22";"0.43";"08 39 32";"+47 21 07";"10.62";;;;;"1.56";"5638";"5";
"HAT-P-13 c";"14.5";;"448.2";"1.186";"0.666";;"0.005542";;;"2454890.05";"175.61";"214";"G4";"1.22";"0.43";"08 39 32";"+47 21 07";"10.62";;;;;"1.56";"5638";"5";
"HAT-P-14 b";"2.2";"1.2";"4.627657";"0.0594";"0.095";"83.2";"0.00029";"2455134.43856";;;"99";"205";"F";"1.386";"0.11";"17 20 28";"+38 14 32";"9.98";;;;;"1.468";"6600";"1.3";
"HAT-P-15 b";"1.946";"1.072";"10.863502";"0.0964";"0.19";"89.1";"0.000507";"2454638.56019";;;"262";"190";"G5";"1.013";"0.22";"04 24 60";"+39 27 38";"12.16";;;;;"1.08";"5568";"6.8";
"HAT-P-16 b";"4.193";"1.289";"2.77596";"0.0413";"0.036";"86.6";"0.000176";"2455027.59293";;;"214";"235";"F8";"1.218";"0.17";"00 38 18";"+42 27 47";"10.8";;;;;"1.237";"6158";"2";
"HAT-P-17 b";"0.534";"1.01";"10.338523";"0.0882";"0.346";"89.2";"0.00098";"2454804.246";;;"201";"90";"K";"0.857";;"21 38 09";"+30 29 19";"10.54";;;;;"0.837";"5246";"7.8";
"HAT-P-17 c";"1.4";;"1798";"2.75";"0.1";;"0.030556";;;"2452636";"155";"90";"K";"0.857";;"21 38 09";"+30 29 19";"10.54";;;;;"0.837";"5246";"7.8";
"HAT-P-18 b";"0.197";"0.995";"5.508023";"0.0559";"0.084";"88.8";"0.000337";"2454715.02174";;;"120";"166";"K";"0.77";"0.1";"17 05 24";"+33 00 45";"12.76";;;;;"0.749";"4803";"12.4";
"HAT-P-19 b";"0.292";"1.132";"4.008778";"0.0466";"0.067";"88.2";"0.000217";"2455091.53417";;;"256";"215";"K";"0.842";"0.23";"00 38 04";"+34 42 42";"12.9";;;;;"0.82";"4990";"8.8";
"HAT-P-2 b";"8.74";"0.951";"5.6334729";"0.0674";"0.5171";"90";"0.000571";"2454387.49375";;"2454213.4794";"185.22";"118";"F8";"1.36";"0.14";"16 20 36";"+41 02 53";"8.71";;;;;"1.64";"6290";"2.7";
"HAT-P-20 b";"7.246";"0.867";"2.875317";"0.0361";"0.015";"86.8";"0.000516";"2455080.92661";"2455082.385";;"317";"70";"K7";"0.756";"0.35";"07 27 40";"+24 20 11";"11.34";;;;;"0.694";"4595";"6.7";
"HAT-P-21 b";"4.063";"1.024";"4.124461";"0.0494";"0.228";"87.2";"0.000194";"2454996.41312";"2454998.865";;"300";"254";"G3";"0.947";"0.01";"11 25 06";"+41 01 41";"11.46";;;;;"1.105";"5588";"10.2";
"HAT-P-22 b";"2.147";"1.08";"3.21222";"0.0414";"0.016";"86.9";"0.000505";"2454930.22001";"2454931.809";;"156";"82";"G5";"0.916";"0.24";"10 22 44";"+50 07 42";"9.73";;;;;"1.04";"5302";"12.4";
"HAT-P-23 b";"2.09";"1.368";"1.212884";"0.0232";"0.106";"85.1";"5.9e-05";"2454852.26464";"2454852.834";;"118";"393";"G5";"1.13";"0.15";"20 24 30";"+16 45 44";"11.94";;;;;"1.203";"5905";"4";
"HAT-P-24 b";"0.685";"1.242";"3.35524";"0.0465";"0.067";"88.6";"0.000152";"2455216.97667";"2455218.542";;"197";"306";"F8";"1.191";"-0.16";"07 15 18";"+14 15 44";"11.82";;;;;"1.317";"6373";"2.8";
"HAT-P-25 b";"0.567";"1.19";"3.652836";"0.0466";"0.032";"87.6";"0.000157";"2455176.85173";;;"271";"297";"G5";"1.01";"0.31";"03 13 45";"+25 11 51";"13.19";;;;;"0.959";"5500";"3.2";
"HAT-P-26 b";"0.059";"0.565";"4.234516";"0.0479";"0.124";"88.6";"0.000357";"2455304.65122";;;"54";"134";"K1";"0.816";"-0.04";;;"11.74";;;;;"0.788";"5079";"9";
