# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 2638 b,0.48,,3.4442,0.044,0.0,,0.000819,R,2005,2010-12-24,,,detected by radial velocity,,HD 2638,00:29:59.0,-05:45:50,9.44,,,,,53.71,0.16,0.93,,G5,3.0,5192.0
HD 27442 b,1.35,,415.2,1.16,0.058,,0.064088,R,2000,2011-04-08,347.0,2451849.3,detected by radial velocity,,HD 27442,04:16:29.0,-59:18:07,4.44,,,,,18.1,0.22,1.2,6.6,K2 IV a,7.15,4749.0
HD 27631 b,1.7,,2220.0,,0.17,,,S,2011,2011-09-13,,,detected by radial velocity,,HD 27631,04:19:45.0,-41:57:37,8.25,,,,,45.5,,,,G3IV,,
HD 27894 b,0.62,,17.991,0.122,0.049,,0.002879,R,2005,2010-12-25,132.9,53275.46,detected by radial velocity,,HD 27894,04:20:47.0,-59:24:39,9.36,,,,,42.37,0.3,0.8,,K2 V,3.9,4875.0
HD 28185 b,5.7,,383.0,1.03,0.07,,0.026142,R,2001,2010-12-20,351.0,51853.0,detected by radial velocity,,HD 28185,04:26:26.0,-10:33:02,7.81,,,,,39.4,0.24,1.24,1.03,G5,5.36,5482.0
HD 28254 b,1.16,,1116.0,2.15,0.81,,0.038256,S,2009,2010-09-08,301.0,4049.0,detected by radial velocity,,HD 28254,04:24:51.0,-50:37:20,7.71,,,,,56.2,0.36,1.06,1.48,G1IV/V,,5664.0
HD 28678 b,1.7,,387.1,1.24,0.168,,0.005463,R,2011,2011-09-02,131.0,2455517.0,detected by radial velocity,,HD 28678,04:31:25.0,+04:34:31,8.54,,,,,227.0,-0.11,1.74,6.2,K0D,1.8,5076.0
HD 290327 b,2.54,,2443.0,3.43,0.08,,0.062477,S,2009,2010-09-08,268.0,5326.0,detected by radial velocity,,HD 290327,05:23:22.0,-02:16:39,8.96,,,,,54.9,-0.11,0.9,1.0,G8V,,5552.0
HD 30177 b,7.7,,1620.0,2.6,0.22,,0.047273,R,2002,2010-12-31,288.0,1027.0,detected by radial velocity,,HD 30177,04:41:54.0,-58:01:14,8.41,,,,,55.0,0.19,0.95,1.12,G8 V,8.4,5320.0
HD 30562 b,1.29,,1157.0,2.3,0.76,,0.086792,R,2009,2009-09-25,81.0,10131.5,detected by radial velocity,,HD 30562,04:48:36.0,-05:40:27,5.77,,,,,26.5,0.243,1.219,1.637,F8V,4.0,5861.0
HD 30856 b,1.8,,912.0,2.0,0.24,,0.016935,R,2011,2011-09-02,180.0,2455260.0,detected by radial velocity,,HD 30856,04:50:18.0,-24:22:08,8.07,,,,,118.1,-0.06,1.35,4.2,K0III,3.8,4982.0
HD 31253 b,0.5,,466.0,1.26,0.3,,0.023411,R,2010,2010-11-19,244.0,10660.0,detected by radial velocity,,HD 31253,04:54:44.0,+12:21:08,7.13,,,,,53.82,0.16,1.23,1.71,F8,3.0,5960.0
HD 31527 b,0.0363,,16.546,0.1253,0.13,,0.003246,S,2011,2011-09-12,,,detected by radial velocity,,HD 31527,04:55:38.0,-23:14:31,7.48,,,,,38.6,,,,G0V,,
HD 31527 c,0.0498,,51.284,0.2665,0.11,,0.006904,S,2011,2011-09-12,,,detected by radial velocity,,HD 31527,04:55:38.0,-23:14:31,7.48,,,,,38.6,,,,G0V,,
HD 31527 d,0.0519,,274.49,0.8181,0.38,,0.021194,S,2011,2011-09-12,,,detected by radial velocity,,HD 31527,04:55:38.0,-23:14:31,7.48,,,,,38.6,,,,G0V,,
