# Proper motion data
# HIP	pmRA(mas/yr)	pmDE(mas/yr)
657	-22.86	-13.63
658	-38.58	-36.74
659	44.25	-3.05
660	1.57	-15.34
661	36.77	4.19
662	8.83	4.44
663	-143.50	-117.29
664	7.40	-4.71
665	-2.74	-71.36
666	6.79	0.56
667	-12.30	-24.80
668	14.03	-5.45
669	-13.46	-10.65
670	6.24	-6.04
671	-35.14	-35.84
673	71.90	-48.70
674	127.50	7.60
675	34.40	-34.79
676	233.87	60.05
677	137.46	-163.44
678	-25.57	-22.86
679	17.44	-8.56
680	-10.30	-19.83
681	31.88	7.24
682	87.59	-1.40
683	3.90	-1.30
684	23.60	-1.40
685	12.71	7.00
686	34.86	-18.19
687	-90.91	-64.47
688	47.62	7.34
689	114.10	10.40
690	15.04	-24.70
691	79.35	23.98
692	41.82	3.09
693	5.21	-34.40
694	2.99	-1.40
695	-6.50	-4.20
696	15.50	-47.80
697	84.52	-2.55
698	-0.87	-12.31
699	-114.52	-125.03
700	40.09	-4.30
701	45.96	22.13
702	3.60	-38.50
703	5.45	6.40
704	18.15	-33.47
705	330.59	-6.39
706	5.42	6.86
707	-3.56	1.42
708	-34.94	-37.91
709	99.72	-44.71
710	7.47	47.83
711	41.88	-1.77
712	-9.50	-9.70
713	-2.54	-16.21
714	7.08	-7.87
715	36.35	20.86
716	104.51	54.72
717	4.30	4.20
718	19.40	-14.37
719	11.87	-7.59
720	-17.15	-5.91
721	2.80	-9.20
722	39.05	-36.65
723	178.30	1.70
724	31.30	-20.20
725	-9.18	-11.12
726	112.05	-19.02
727	-23.00	-1.60
728	6.02	-6.35
729	140.17	-25.67
730	46.60	13.30
731	224.15	145.08
732	37.47	-11.35
733	125.58	2.12
734	-1.64	20.55
735	-4.03	-0.93
736	-58.25	-156.90
737	126.52	-172.07
738	691.87	88.97
739	49.50	-31.51
740	11.41	21.03
741	22.56	9.12
742	4.97	-16.37
743	1.30	-7.70
744	18.90	-7.60
745	165.06	-63.23
746	523.50	-179.77
747	53.30	-32.90
748	23.32	-7.39
749	43.29	4.11
750	45.72	-34.33
751	11.24	9.96
752	-0.90	4.70
753	133.57	-84.31
754	173.20	-148.70
755	128.98	37.67
756	293.44	-59.85
757	-7.11	-13.01
758	-18.10	11.00
759	3.16	-131.45
760	106.10	-33.20
785	16.23	-46.28
761	78.00	-16.50
762	136.70	-135.79
763	6.80	-4.30
764	9.93	-9.06
765	117.10	-179.30
766	-39.24	-39.51
767	11.53	-13.07
768	268.90	28.90
769	25.90	6.50
770	-15.73	-6.72
771	5.89	3.31
772	-16.90	-37.20
773	22.31	-53.59
774	35.58	10.23
775	2.84	-27.08
776	9.52	-27.80
777	-7.50	-1.10
778	18.03	-5.67
779	3.40	-4.00
780	-12.72	-13.80
781	3.75	-6.60
782	62.90	-18.80
783	-0.75	0.02
784	3.91	-1.45
786	-52.70	-23.80
787	408.60	-244.30
788	-30.01	41.77
789	-21.98	-8.98
790	53.51	-54.61
791	136.62	-118.98
792	55.35	-20.86
793	-20.50	-31.00
794	-62.20	-149.80
795	56.00	-11.41
796	-1.51	-0.75
797	39.70	-30.80
798	16.89	17.49
799	-4.72	-4.72
800	6.36	-6.87
801	-96.17	-17.50
802	12.32	7.88
803	3.33	-14.95
804	22.05	-24.49
805	40.09	19.38
806	6.36	-7.21
807	-73.67	-43.69
808	80.29	-25.45
38698	-7.80	8.40
809	31.53	-5.53
810	48.72	11.94
811	-5.79	-23.46
812	-3.49	-5.91
813	30.20	4.20
814	-21.66	-20.40
815	-49.06	-38.92
816	18.28	-5.36
817	-1.00	-14.10
818	79.55	11.96
819	13.98	-3.35
820	21.30	1.10
821	25.03	0.19
822	41.31	7.71
823	-7.30	15.90
824	4.09	9.82
825	24.68	-4.34
826	-1.69	-2.74
827	14.65	-0.43
828	-18.22	-20.37
829	8.30	-23.27
830	10.05	-34.78
831	86.30	-27.00
832	16.63	-41.98
833	16.18	-9.81
834	-29.78	-4.33
835	0.06	0.04
836	1.48	-1.11
837	48.42	6.07
838	7.80	-2.02
839	12.41	-2.85
840	36.75	-29.19
841	5.46	0.32
842	-8.90	5.61
843	12.40	8.30
844	-5.57	-2.03
845	45.67	-2.03
846	180.72	72.14
847	25.40	-13.60
848	-98.80	-10.35
849	18.55	-8.06
850	2.55	-9.27
851	69.96	-52.48
852	-4.64	-16.90
853	15.82	12.12
854	-12.27	-8.90
855	-7.50	-17.24
856	-69.10	-64.66
857	19.36	-0.69
858	-25.88	-1.71
859	-0.76	-18.51
860	7.25	-2.83
861	-16.72	-23.86
862	14.55	-41.22
863	61.96	-11.14
864	48.13	-26.55
865	123.30	19.70
866	5.79	-3.64
867	39.48	-16.14
868	0.90	3.46
869	95.66	4.85
870	-12.36	17.84
871	-1.60	-3.30
872	6.86	16.84
873	148.92	-39.11
874	5.91	-3.57
875	146.73	-22.89
876	8.90	-1.40
877	-10.86	-7.06
878	-21.70	-10.28
879	43.60	-24.40
880	49.83	15.92
881	85.44	-1.05
882	8.64	0.13
883	-55.60	-37.50
884	6.81	5.26
885	9.21	-4.07
886	0.79	-14.53
887	5.87	4.45
888	80.54	-61.65
889	169.17	0.78
890	-1.21	-2.34
891	14.00	-2.50
892	42.32	-20.42
893	-19.56	-37.61
894	6.33	-19.75
895	-30.15	-27.36
896	4.14	-52.29
897	256.01	8.75
898	245.70	82.90
899	10.71	-0.71
900	9.77	-5.36
901	4.51	-1.73
902	-37.29	11.00
903	30.60	6.10
904	-31.44	-31.26
905	-5.62	-4.95
906	27.94	-12.08
907	-23.55	-30.85
908	14.91	3.94
909	-11.29	-8.28
910	-82.98	-270.23
911	295.70	40.60
912	32.51	-0.33
913	15.70	-2.40
914	-117.55	-9.28
915	17.64	-1.00
916	233.41	22.33
917	48.12	-10.03
918	73.22	-14.64
919	210.65	34.96
920	-35.33	31.70
921	9.11	23.84
922	71.28	-2.62
923	-3.97	-2.27
924	-38.50	-38.00
925	25.65	-9.66
926	-6.48	-6.16
927	40.40	-6.00
928	22.50	-3.30
929	270.64	-5.46
930	4.60	16.20
931	149.50	-12.30
932	41.36	8.42
933	1.99	-6.12
934	135.34	-66.83
935	32.25	0.95
936	12.79	5.20
