91910	V1331 Aql	EB/KE:	7.7	0	8.05	V	42610.070	1.364209		B1V
97607	V1339 Aql	GCAS:	6.33	0	6.52	V				B2.5IVe
99540	V1357 Aql	SXARI	7.94	1	0.04	V	44084.32	19.5		B5p
98910	V1401 Aql	SRD	6.18	0	6.55	V				
93904	V1403 Aql	ACYG	7.41	1	0.08	V				
99210	V1423 Aql	RS	7.8	1	0.04	V				
95793	V1431 Aql	ACVO:	6.06	1	0.04	v				
92151	V1434 Aql	LB:	7.56	0	7.68	Hp				
92715	V1435 Aql	LB:	7.32	0	7.46	Hp				
93259	V1438 Aql	DSCTC	7.79	0	7.86	Hp				
93349	V1439 Aql	EB:	7.68	0	7.98	Hp				
93732	V1441 Aql	EB	6.91	0	7.00	Hp				
93773	V1442 Aql	LB:	7.46	0	7.56	Hp				
94169	V1444 Aql	ACV:	7.93	0	7.99	Hp				
94588	V1447 Aql	LPB:	7.34	0	7.44	Hp				
94596	V1448 Aql	BE:	7.92	0	8.09	Hp				
95049	V1451 Aql	LB	6.83	0	6.99	Hp				
95082	V1452 Aql	CEP:	7.75	0	7.85	Hp				
97787	V1466 Aql	BE:	6.50	0	6.56	Hp				
98826	V1470 Aql	E	7.83	0	7.93	Hp				
98954	V1472 Aql	E:	6.38	0	6.54	Hp				
99250	V1473 Aql	LPB:	7.15	0	7.21	Hp				
99456	V1474 Aql	LB	7.39	0	7.65	Hp				
99533	V1475 Aql	LB	7.11	0	7.26	Hp				
99983	V1481 Aql	LB	7.24	0	7.56	Hp				
100550	V1482 Aql	SRB	6.96	0	7.09	Hp				
100926	V1483 Aql	LB:	6.83	0	7.00	Hp				
98698	V1654 Aql	BY	7.48	1	0.04	V				
95453	V1691 Aql	DSCTC	6.82	1	0.04	B		0.0781		A9V
99711	V1703 Aql	BY	7.79	1	0.03	V		23.98		K2V
92837	V1709 Aql	GDOR	7.43	0	7.49	Hp		0.78666		F5
97649	α Aql	DSCT	0.77	1	0.00	V		0.06342		A7IV/V
