# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Sumbe	Kwanza Sul	03	R	33.277	11.20605S	13.84371E	10	5	Africa/Luanda
Mocamedes	Namibe	03	R	80.149	15.19611S	12.15222E	13	6	Africa/Luanda
Menongue	Cuando Cobango	03	R	32.203	14.6585S	17.69099E	1355	5	Africa/Luanda
Luena	Moxico	03	R	21.115	11.78333S	19.91667E	1337	5	Africa/Luanda
Lubango	Huila	03	R	102.541	14.91717S	13.4925E	1760	7	Africa/Luanda
Longonjo	Huambo	03	N	24.346	12.90795S	15.24845E	1451	5	Africa/Luanda
Lobito	Benguela	03	N	207.932	12.3644S	13.53601E	4	7	Africa/Luanda
Cuito	Bie	03	R	113.624	12.38333S	16.93333E	1715	7	Africa/Luanda
Huambo	Huambo	03	R	226.145	12.77611S	15.73917E	1716	7	Africa/Luanda
Catumbela	Benguela	03	N	16.977	12.43002S	13.54677E	12	5	Africa/Luanda
Catabola	Bie	03	N	18.855	12.15S	17.28333E	1531	5	Africa/Luanda
Camacupa	Bie	03	N	19.15	12.01667S	17.48333E	1473	5	Africa/Luanda
Caala	Huambo	03	N	21.205	12.8525S	15.56056E	1742	5	Africa/Luanda
Benguela	Benguela	03	R	151.226	12.57626S	13.40547E	11	7	Africa/Luanda
Zarate	Buenos Aires	08	N	99.061	34.09814S	59.02858W	28	6	America/Argentina/Buenos_Aires
Wanda	Misiones	08	N	15.529	25.96879S	54.56285W	206	5	America/Argentina/Cordoba
Villa Ortuzar	Buenos Aires F.D.	08	N	22.5	34.57973S	58.46829W	26	5	America/Argentina/Buenos_Aires
Villa Ocampo	Santa Fe	08	N	19.101	28.48752S	59.35515W	54	5	America/Argentina/Cordoba
Villa Lugano	Buenos Aires F.D.	08	N	114	34.67907S	58.47263W	19	7	America/Argentina/Buenos_Aires
Villaguay	Entre Rios	08	N	32.027	31.8653S	59.02689W	50	5	America/Argentina/Cordoba
Villa Gesell	Buenos Aires	08	N	23.257	37.26394S	56.97304W	9	5	America/Argentina/Buenos_Aires
Villa de Mayo	Buenos Aires	08	N	43.405	34.5108S	58.68059W	22	5	America/Argentina/Buenos_Aires
Tortuguitas	Buenos Aires	08	N	41.39	34.47513S	58.75367W	31	5	America/Argentina/Buenos_Aires
Tigre	Buenos Aires	08	N	31.106	34.42603S	58.57962W	8	5	America/Argentina/Buenos_Aires
Tandil	Buenos Aires	08	N	115.877	37.32167S	59.13316W	192	7	America/Argentina/Buenos_Aires
San Vicente	Misiones	08	N	38.247	26.61667S	54.13333W	603	5	America/Argentina/Cordoba
