113.0779;+61.9850;HS 0727+6205     ;07 32 18.7;+61 59 06; 0.325;15.54;     ;-25.4
115.9667;+27.2108;FIRST J07438+2712;07 43 52.0;+27 12 39; 0.252;16.00; 0.20;-24.2
116.4233;+31.7156;B2 0742+31       ;07 45 41.6;+31 42 56; 0.462;15.97; 0.13;-25.6
116.6075;+24.8169;SDSS J07464+2449 ;07 46 25.8;+24 49 01; 2.979;15.46; 0.73;-30.1
116.6237;+65.6694;RXS J07466+6540  ;07 46 29.7;+65 40 10; 0.262;15.80;     ;-24.6
116.9967;+20.8739;RXS J07479+2052  ;07 47 59.2;+20 52 26; 0.156;16.00; 0.42;-22.8
117.3021;+55.8758;2MASS J07491+5552;07 49 12.5;+55 52 33; 0.124;14.70;     ;-23.4
117.7533; +3.3444;IRAS 07483+0328  ;07 51 00.8;+03 20 40; 0.099;15.20;     ;-23.0
119.5004;+39.3414;B3 0754+394      ;07 58 00.1;+39 20 29; 0.096;14.36; 0.38;-23.4
122.2192;+62.8772;IRAS 08045+6301  ;08 08 52.6;+62 52 38; 0.070;14.60;     ;-22.8
122.7437;+76.0453;PG 0804+761      ;08 10 58.5;+76 02 43; 0.100;14.71; 0.32;-23.2
126.3033;+60.1986;RXS J08252+6011  ;08 25 12.8;+60 11 55; 0.120;15.80;     ;-22.8
126.9175; +9.7022;1WGA J0827.6+0942;08 27 40.2;+09 42 08; 0.260;15.50;     ;-24.9
127.9233;+52.7550;APM 08279+5255   ;08 31 41.6;+52 45 18; 3.911;15.20;     ;-31.0
128.3362;-25.1597;IRAS 08311-2459  ;08 33 20.7;-25 09 35; 0.100;14.70;     ;-23.5
128.8996;+24.9947;PG 0832+251      ;08 35 35.9;+24 59 41; 0.331;16.00; 0.30;-24.7
129.2454;+44.4339;US 1329          ;08 36 58.9;+44 26 02; 0.254;15.77; 0.27;-24.3
129.9608;-12.2428;PKS 0837-12      ;08 39 50.6;-12 14 34; 0.198;15.76; 0.02;-24.0
131.9271;+34.7514;PG 0844+349      ;08 47 42.5;+34 45 05; 0.064;14.50; 0.33;-22.4
132.5096;+70.3017;Q J08500+701     ;08 50 02.3;+70 18 06; 1.900;16.00;     ;-28.8
132.5158;+50.5419;IRAS F08464+5043 ;08 50 03.8;+50 32 31; 0.200;15.60;     ;-24.2
134.7621;+48.7692;RXS J08590+4846  ;08 59 02.9;+48 46 09; 0.083;15.31; 0.18;-22.3
139.0396;-62.3247;IRAS 09149-6206  ;09 16 09.5;-62 19 29; 0.057;13.55; 0.52;-22.9
141.3496;-10.3317;NVSS J09253-1019 ;09 25 23.9;-10 19 54; 0.077;14.30;     ;-22.2
141.4779;+19.9011;PG 0923+201      ;09 25 54.7;+19 54 04; 0.190;15.89; 0.13;-23.6
143.7608;+43.5197;PG 0931+437      ;09 35 02.6;+43 31 11; 0.456;15.93;-0.01;-25.7
146.0413; -1.8542;IRAS 09415-0137  ;09 44 09.9;-01 51 15; 0.112;14.90;     ;-22.5
146.9408;-21.9297;CTS J01.11       ;09 47 45.8;-21 55 47; 0.320;16.00;     ;-25.0
148.8883;+69.0653;NGC 3031         ;09 55 33.2;+69 03 55; 0.000;11.63; 1.12;
149.2179;+41.2564;PG 0953+415      ;09 56 52.3;+41 15 23; 0.239;15.32;-0.03;-24.9
149.5871;+32.4006;3C 232           ;09 58 20.9;+32 24 02; 0.530;15.78; 0.10;-26.1
150.4554;+14.6897;SDSS J10018+1441 ;10 01 49.3;+14 41 23; 2.118;15.73; 0.28;-29.1
150.5004;-44.6319;PKS 0959-443     ;10 02 00.1;-44 37 55; 0.837;15.10;     ;-28.2
150.7783;+68.2211;FBS 0959+685     ;10 03 06.8;+68 13 16; 0.773;15.92; 0.36;-26.6
151.8592;+12.8156;PG 1004+130      ;10 07 26.2;+12 48 56; 0.240;15.68; 0.13;-24.4
152.4262;-14.3417;HE 1007-1405     ;10 09 42.3;-14 20 30; 0.583;15.94; 0.19;-26.1
154.5654;-16.5525;HE 1015-1618     ;10 18 15.7;-16 33 09; 0.247;15.78; 0.22;-24.3
154.9858;+27.7339;TON   34         ;10 19 56.6;+27 44 02; 1.918;15.69; 0.37;-28.8
155.3954;-83.1133;IRAS 10227-8251  ;10 21 34.9;-83 06 48; 0.086;14.90;     ;-22.4
156.6417;+67.7700;1WGA J1026.4+6746;10 26 34.0;+67 46 12; 1.178;15.00;     ;-28.9
156.9946; -6.7989;RXS J10279-0647  ;10 27 58.7;-06 47 56; 0.116;14.35;     ;-24.2
157.9767;-14.2811;HE 1029-1401     ;10 31 54.4;-14 16 52; 0.086;13.86; 0.22;-23.8
158.0246;+32.6692;CSO   50         ;10 32 05.9;+32 40 09; 0.560;15.64;     ;-26.6
158.0587;+27.9333;7C 1029+2813     ;10 32 14.1;+27 56 00; 0.085;14.30;     ;-23.5
158.1504;-28.2239;MS 10302-2757    ;10 32 36.1;-28 13 26; 0.148;16.00;     ;-23.1
159.3512;-11.1989;RXS J10374-1111  ;10 37 24.3;-11 11 56; 0.053;14.42;     ;-22.3
159.6167; -8.1036;RXS J10384-0806  ;10 38 28.0;-08 06 13; 0.216;15.67;     ;-24.3
162.0092;-23.6328;HE 1045-2322     ;10 48 02.2;-23 37 58; 0.407;16.00;     ;-25.5
162.5729;-28.3983;IRAS 10479-2808  ;10 50 17.5;-28 23 54; 0.190;16.00;     ;-23.7
162.6471;+80.1978;HS 1046+8027     ;10 50 35.3;+80 11 52; 0.115;15.03;     ;-23.5
162.9646; -0.8547;PG 1049-005      ;10 51 51.5;-00 51 17; 0.357;15.78; 0.20;-25.2
163.2133;-27.4544;HE 1050-2711     ;10 52 51.2;-27 27 16; 0.208;15.83; 0.22;-23.8
163.2200;+57.4833;RX J10528+5729   ;10 52 52.8;+57 29 00; 0.204;15.30;     ;-24.0
165.8579;+38.2028;HXMM J11034+3812 ;11 03 25.9;+38 12 10; 0.070;14.40;     ;-22.4
166.0575;+76.9828;3C 249.1         ;11 04 13.8;+76 58 58; 0.313;15.72;-0.02;-25.1
166.3417;+38.2339;HXMM J11053+3814 ;11 05 22.0;+38 14 02; 0.028;11.30;     ;-23.5
166.4158;+34.4264;CSO  314         ;11 05 39.8;+34 25 35; 0.510;15.89; 0.13;-25.8
166.8129;+16.4675;MC 1104+167      ;11 07 15.1;+16 28 03; 0.632;15.70; 0.21;-26.5
167.2212;-23.6364;HE 1106-2321     ;11 08 53.1;-23 38 11; 0.081;14.82; 0.59;-22.3
169.7867;+21.3217;PG 1116+215      ;11 19 08.8;+21 19 18; 0.177;14.72; 0.13;-24.7
170.2850;+34.9225;CG  825          ;11 21 08.4;+34 55 21; 0.040;13.19;     ;-22.9
171.8833;-30.7458;HE 1125-3028     ;11 27 32.0;-30 44 45; 0.673;15.89; 0.28;-26.3
171.8983;-37.9539;NVSS J11275-3757 ;11 27 35.6;-37 57 14; 0.057;12.98;     ;-24.0
172.3767;-19.6836;HE 1127-1924     ;11 29 30.4;-19 41 01; 0.918;15.62;     ;-27.7
173.8958; -3.7339;TGN172Z242       ;11 35 35.0;-03 44 02; 1.160;15.66; 0.48;-27.7
173.9425; -9.6328;RXS J11357-0937  ;11 35 46.2;-09 37 58; 0.102;14.91;     ;-23.3
174.0554;-37.7561;NVSS J11362-3745 ;11 36 13.3;-37 45 22; 0.032;12.60;     ;-23.1
177.8354;+54.6258;PG 1148+549      ;11 51 20.5;+54 37 33; 0.978;15.78; 0.25;-27.5
178.5433;+12.4194;CGRaBS J1154+1225;11 54 10.4;+12 25 10; 0.081;14.69;     ;-22.5
179.8829;+29.2458;4C 29.45         ;11 59 31.9;+29 14 45; 0.729;14.41; 0.39;-27.9
180.9487;+52.1306;SBS 1201+524     ;12 03 47.7;+52 07 50; 0.177;15.89; 0.17;-23.5
181.1754;+27.9033;GQ COM           ;12 04 42.1;+27 54 12; 0.165;15.60; 0.04;-23.7
182.2417;+45.6767;PG 1206+459      ;12 08 58.0;+45 40 36; 1.155;15.70; 0.30;-27.8
183.4429;-13.6478;HE 1211-1322     ;12 13 46.3;-13 38 52; 1.125;15.59; 0.44;-27.8
183.5737;+14.0536;PG 1211+143      ;12 14 17.7;+14 03 13; 0.082;14.19; 0.27;-23.3
184.6458; -1.3317;PKS 1216-010     ;12 18 35.0;-01 19 54; 0.554;15.64; 0.53;-25.9
184.7867; -1.8081;MARK 1320        ;12 19 08.8;-01 48 29; 0.103;15.00;     ;-23.3
184.8371; +6.6439;PG 1216+069      ;12 19 20.9;+06 38 38; 0.334;15.65;     ;-25.3
185.0496; +2.0617;PKS 1217+02      ;12 20 11.9;+02 03 42; 0.240;15.97; 0.18;-24.1
186.8537;-11.5597;Q 1224-1116      ;12 27 24.9;-11 33 35; 1.979;15.40;     ;-29.5
187.1033;+31.4772;B2 1225+31       ;12 28 24.8;+31 28 38; 2.219;15.87; 0.28;-29.0
187.2779; +2.0522;3C 273.0         ;12 29 06.7;+02 03 08; 0.158;12.85; 0.20;-26.2
187.7075;-27.7606;NVSS J12308-2745 ;12 30 49.8;-27 45 38; 0.132;15.80;     ;-22.5
187.7083; +1.2558;RX J12308+0115   ;12 30 50.0;+01 15 21; 0.118;14.42; 0.02;-24.1
